Zcr;Zsn;Zsdo
4.31;4.75;4.37
4.11;4.6;4.15
3.66;4.11;3.65
3.04;3.42;3.02
2.43;2.73;2.49
2.08;2.3;2.24
2.14;2.32;2.34
2.54;2.74;2.7
3.08;3.31;3.18
3.61;3.91;3.69
4.1;4.46;4.18
4.52;4.88;4.58
4.74;5.14;4.76
4.63;5.07;4.6
4.18;4.62;4.1
3.47;3.85;3.34
2.65;2.96;2.57
1.97;2.21;2.02
1.69;1.87;1.85
1.88;2.06;2.07
2.41;2.6;2.54
3.03;3.27;3.11
3.61;3.94;3.69
4.14;4.51;4.21
4.54;4.93;4.59
4.65;5.1;4.69
4.41;4.89;4.42
3.85;4.3;3.79
3.07;3.45;2.99
2.27;2.56;2.26
1.74;1.95;1.86
1.7;1.86;1.92
2.16;2.31;2.39
2.9;3.07;3.06
3.66;3.93;3.78
4.33;4.67;4.42
4.87;5.24;4.9
5.11;5.52;5.1
4.94;5.39;4.89
4.39;4.83;4.26
3.53;3.91;3.34
2.53;2.82;2.37
1.67;1.88;1.65
1.26;1.42;1.42
1.49;1.62;1.73
2.21;2.34;2.41
3.08;3.28;3.2
3.85;4.16;3.94
4.5;4.87;4.56
4.92;5.33;4.95
4.95;5.41;4.98
4.58;5.08;4.57
3.89;4.34;3.78
2.95;3.3;2.78
1.98;2.24;1.89
1.31;1.5;1.42
1.26;1.41;1.55
1.91;2.01;2.21
2.91;3.03;3.13
3.88;4.12;4.02
4.68;5.02;4.76
5.26;5.66;5.26
5.43;5.86;5.4
5.12;5.59;5.06
4.43;4.89;4.26
3.43;3.77;3.16
2.29;2.52;2.03
1.3;1.47;1.23
0.86;0.99;1.06
1.24;1.34;1.57
2.24;2.31;2.49
3.33;3.5;3.48
4.22;4.53;4.32
4.91;5.31;4.94
5.25;5.68;5.26
5.12;5.59;5.15
4.6;5.11;4.56
3.77;4.19;3.59
2.7;3;2.44
1.62;1.83;1.46
0.89;1.06;1.02
0.95;1.08;1.32
1.87;1.92;2.23
3.11;3.2;3.35
4.2;4.44;4.36
5.07;5.43;5.11
5.6;6.02;5.56
5.59;6.04;5.57
5.11;5.61;5.06
4.3;4.75;4.09
3.19;3.47;2.84
1.97;2.14;1.64
0.95;1.07;0.88
0.6;0.72;0.87
1.26;1.31;1.64
2.51;2.54;2.78
3.7;3.89;3.88
4.64;4.98;4.72
5.29;5.71;5.27
5.44;5.89;5.45
5.11;5.6;5.15
4.45;4.97;4.39
3.53;3.9;3.27
2.39;2.62;2.04
1.26;1.42;1.08
0.58;0.73;0.77
0.88;0.97;1.31
2.07;2.07;2.45
3.43;3.52;3.69
4.56;4.84;4.7
5.41;5.81;5.4
5.77;6.22;5.72
5.55;6.02;5.55
4.93;5.45;4.86
4.02;4.43;3.77
2.87;3.08;2.46
1.64;1.75;1.29
0.69;0.78;0.68
0.58;0.67;0.93
1.54;1.54;1.94
2.93;2.97;3.21
4.12;4.36;4.31
5.03;5.42;5.06
5.52;5.97;5.47
5.44;5.89;5.46
4.94;5.44;4.98
4.2;4.69;4.09
3.22;3.52;2.9
2.06;2.23;1.68
0.96;1.1;0.82
0.48;0.61;0.73
1.09;1.11;1.52
2.45;2.42;2.8
3.8;3.95;4.05
4.88;5.22;4.98
5.6;6.05;5.54
5.72;6.18;5.69
5.31;5.79;5.33
4.6;5.12;4.53
3.66;4.01;3.39
2.52;2.68;2.11
1.36;1.45;1.08
0.6;0.7;0.7
0.84;0.89;1.23
2.03;1.99;2.41
3.41;3.51;3.69
4.51;4.84;4.67
5.29;5.75;5.26
5.55;6.01;5.49
5.25;5.69;5.29
4.67;5.17;4.68
3.9;4.33;3.74
2.89;3.15;2.56
1.76;1.91;1.43
0.81;0.94;0.77
0.64;0.72;0.94
1.53;1.48;1.92
2.91;2.9;3.21
4.14;4.37;4.35
5.08;5.51;5.11
5.58;6.06;5.49
5.45;5.89;5.45
4.93;5.41;4.96
4.22;4.69;4.12
3.28;3.59;3.02
2.2;2.35;1.86
1.19;1.3;1.04
0.75;0.85;0.96
1.34;1.34;1.72
2.62;2.6;2.95
3.85;4.06;4.11
4.8;5.22;4.89
5.36;5.86;5.28
5.36;5.8;5.32
4.94;5.36;4.98
4.36;4.83;4.34
3.59;3.97;3.41
2.6;2.84;2.3
1.57;1.73;1.34
0.87;0.99;0.93
1.04;1.06;1.33
2.08;2;2.39
3.33;3.41;3.59
4.38;4.72;4.52
5.11;5.6;5.06
5.33;5.8;5.25
5.04;5.46;5.06
4.52;4.98;4.53
3.83;4.26;3.74
2.94;3.24;2.73
1.97;2.16;1.76
1.21;1.35;1.21
1.13;1.21;1.39
1.95;1.92;2.29
3.14;3.21;3.44
4.18;4.51;4.38
4.91;5.42;4.93
5.22;5.72;5.13
5.03;5.43;5.02
4.6;5;4.63
4.06;4.49;4.01
3.31;3.67;3.15
2.4;2.65;2.18
1.54;1.72;1.43
1.15;1.25;1.26
1.58;1.54;1.83
2.6;2.56;2.85
3.65;3.85;3.84
4.47;4.89;4.53
4.93;5.44;4.86
4.92;5.36;4.89
4.58;4.98;4.62
4.12;4.56;4.13
3.5;3.91;3.43
2.7;3.02;2.57
1.9;2.14;1.82

