Zcr;Zsn;Zsdo
2.81;2.92;3.16
4.04;4.37;4.26
4.97;5.42;5.04
5.57;6.04;5.53
5.66;6.09;5.65
5.27;5.72;5.26
4.55;5.03;4.4
3.52;3.83;3.18
2.28;2.42;1.86
1.08;1.15;0.86
0.42;0.46;0.6
0.81;0.8;1.22
2.05;2.02;2.4
3.39;3.55;3.62
4.47;4.85;4.6
5.28;5.76;5.28
5.63;6.12;5.63
5.44;5.91;5.49
4.84;5.38;4.81
3.94;4.35;3.69
2.76;2.93;2.35
1.5;1.57;1.18
0.58;0.62;0.63
0.58;0.62;1.01
1.64;1.65;2.13
3.08;3.23;3.43
4.28;4.67;4.49
5.18;5.67;5.21
5.68;6.17;5.63
5.63;6.07;5.65
5.17;5.66;5.18
4.41;4.91;4.27
3.36;3.64;2.99
2.1;2.21;1.65
0.91;0.94;0.71
0.37;0.37;0.58
0.95;0.88;1.35
2.27;2.24;2.59
3.57;3.81;3.8
4.6;5.05;4.7
5.32;5.86;5.31
5.54;6.03;5.57
5.25;5.74;5.32
4.64;5.19;4.61
3.72;4.12;3.48
2.55;2.73;2.15
1.34;1.42;1.08
0.55;0.61;0.69
0.78;0.8;1.23
1.97;1.97;2.42
3.36;3.57;3.68
4.47;4.91;4.65
5.27;5.8;5.26
5.63;6.12;5.59
5.48;5.91;5.52
5;5.52;5.02
4.25;4.74;4.1
3.19;3.47;2.82
1.94;2.05;1.54
0.83;0.88;0.71
0.5;0.47;0.73
1.25;1.13;1.61
2.54;2.57;2.83
3.72;4.05;3.94
4.64;5.17;4.72
5.23;5.79;5.21
5.31;5.78;5.36
5;5.49;5.07
4.4;4.95;4.37
3.51;3.9;3.28
2.39;2.59;2.04
1.27;1.39;1.1
0.68;0.76;0.88
1.12;1.11;1.55
2.35;2.36;2.73
3.61;3.88;3.88
4.57;5.07;4.69
5.23;5.78;5.19
5.44;5.9;5.42
5.24;5.66;5.29
4.8;5.31;4.81
4.08;4.54;3.92
3.04;3.33;2.7
1.85;1.99;1.53
0.9;0.97;0.85
0.78;0.74;1.02
1.62;1.51;1.93
2.81;2.92;3.07
3.83;4.25;4.02
4.6;5.18;4.64
5.02;5.56;5
5.01;5.43;5.06
4.71;5.19;4.77
4.17;4.69;4.13
3.34;3.74;3.13
2.28;2.54;2.03
1.31;1.49;1.25
0.95;1.05;1.18
1.53;1.5;1.9
2.69;2.75;3
3.78;4.11;4
4.58;5.11;4.64
5.06;5.61;5.01
5.16;5.57;5.15
4.96;5.36;5.02
4.58;5.07;4.58
3.91;4.36;3.76
2.93;3.25;2.66
1.85;2.04;1.63
1.09;1.2;1.11
1.15;1.12;1.38
1.98;1.65;2.26
3.02;3.24;3.26
3.88;4.36;4.02
4.48;5.07;4.48
4.74;5.23;4.73
4.68;5.08;4.74
4.45;4.9;4.5
3.99;4.48;3.94
3.22;3.64;3.06
2.27;2.58;2.11
1.47;1.7;1.48
1.29;1.39;1.52
1.92;1.91;2.22
2.93;3.07;3.19
3.85;4.23;4.01
4.49;5.04;4.5
4.82;5.33;4.77
4.84;5.23;4.86
4.69;5.08;4.74
4.39;4.84;4.37
3.78;4.22;3.65
2.89;3.23;2.68
1.95;2.19;1.82
1.38;1.51;1.43
1.52;1.53;1.74
2.27;2.33;2.52
3.14;3.45;3.35
3.85;4.37;3.94
4.3;4.86;4.29
4.46;4.9;4.46
4.42;4.79;4.47
4.25;4.68;4.29
3.86;4.35;3.82
3.17;3.62;3.07
2.35;2.7;2.26
1.71;1.96;1.75
1.63;1.73;1.83
2.2;2.25;2.45
3.06;3.26;3.27
3.82;4.24;3.93
4.33;4.86;4.32
4.55;5.03;4.52
4.56;4.94;4.59
4.48;4.85;4.52
4.24;4.67;4.22
3.7;4.14;3.6
2.92;3.28;2.78
2.12;2.4;2.04
1.67;1.83;1.74
1.81;1.89;2.02
2.44;2.6;2.68
3.18;3.53;3.35
3.77;4.28;3.83
4.13;4.63;4.11
4.25;4.66;4.26
4.25;4.62;4.3
4.15;4.57;4.18
3.81;4.3;3.79
3.2;3.66;3.14
2.49;2.86;2.43
1.95;2.2;1.99
1.88;2.02;2.05
2.35;2.47;2.57
3.07;3.33;3.24
3.71;4.15;3.79
4.15;4.64;4.13
4.33;4.77;4.31
4.37;4.74;4.4
4.34;4.71;4.38
4.15;4.58;4.13
3.68;4.12;3.61
2.99;3.37;2.89
2.3;2.59;2.24
1.88;2.08;1.96
1.97;2.12;2.18
2.49;2.71;2.71
3.14;3.51;3.28
3.68;4.15;3.71
4.01;4.46;3.99
4.16;4.56;4.17
4.21;4.59;4.26
4.13;4.57;4.17
3.82;4.31;3.82
3.27;3.72;3.23
2.63;2.99;2.57
2.12;2.37;2.15
2.01;2.18;2.16
2.37;2.55;2.57
2.99;3.28;3.15
3.58;4;3.64
3.99;4.44;3.98
4.2;4.62;4.19
4.3;4.66;4.32
4.31;4.68;4.33
4.13;4.56;4.12
3.69;4.13;3.64
3.07;3.45;2.97
2.4;2.71;2.36
1.97;2.2;2.06
2.01;2.2;2.21
2.46;2.7;2.66
3.07;3.43;3.2
3.62;4.04;3.66
3.99;4.42;3.98
4.2;4.61;4.21
4.28;4.68;4.31
4.19;4.64;4.22
3.86;4.34;3.86
3.33;3.76;3.27
2.69;3.03;2.63
2.16;2.42;2.19
2.01;2.21;2.16
2.32;2.52;2.5
2.89;3.18;3.04
3.47;3.86;3.55
3.92;4.34;3.92
4.19;4.61;4.19
4.35;4.71;4.35
4.35;4.73;4.36
4.14;4.57;4.13
3.7;4.13;3.64
3.06;3.44;2.97
2.37;2.69;2.35
1.93;2.19;2.03
1.96;2.16;2.14
2.41;2.64;2.6
3.05;3.36;3.18
3.65;4.04;3.7
4.09;4.53;4.09

