Zcr;Zsn;Zsdo
4.22;4.56;4.19
4.02;4.41;3.95
3.59;3.96;3.47
3;3.35;2.89
2.42;2.71;2.41
2.1;2.3;2.2
2.2;2.33;2.32
2.59;2.73;2.64
3.04;3.24;3.02
3.45;3.68;3.39
3.79;4.07;3.76
4.09;4.39;4.08
4.29;4.62;4.27
4.26;4.65;4.22
3.95;4.35;3.86
3.41;3.77;3.28
2.76;3.07;2.67
2.23;2.45;2.26
2.07;2.2;2.19
2.32;2.44;2.42
2.78;2.96;2.84
3.28;3.52;3.29
3.73;4.03;3.74
4.13;4.46;4.14
4.45;4.78;4.43
4.57;4.94;4.52
4.38;4.77;4.28
3.88;4.27;3.72
3.16;3.51;3
2.4;2.68;2.33
1.89;2.06;1.94
1.83;1.92;1.92
2.15;2.25;2.23
2.7;2.82;2.72
3.29;3.48;3.28
3.84;4.11;3.83
4.31;4.63;4.31
4.62;4.99;4.6
4.62;5.03;4.56
4.25;4.67;4.13
3.58;3.97;3.41
2.75;3.05;2.61
2.02;2.22;2
1.69;1.79;1.78
1.85;1.94;2.01
2.41;2.54;2.56
3.14;3.33;3.22
3.83;4.12;3.87
4.42;4.76;4.43
4.85;5.21;4.82
4.99;5.38;4.91
4.72;5.13;4.59
4.09;4.5;3.88
3.19;3.53;2.96
2.24;2.47;2.08
1.54;1.65;1.5
1.33;1.38;1.43
1.7;1.75;1.85
2.47;2.54;2.56
3.31;3.49;3.35
4.06;4.35;4.08
4.68;5.04;4.67
5.03;5.44;4.99
4.94;5.39;4.88
4.45;4.91;4.29
3.61;4;3.37
2.6;2.86;2.36
1.69;1.83;1.57
1.2;1.27;1.29
1.36;1.45;1.63
2.16;2.26;2.41
3.18;3.35;3.32
4.09;4.38;4.16
4.83;5.18;4.83
5.31;5.71;5.25
5.36;5.78;5.28
4.94;5.4;4.8
4.16;4.58;3.9
3.11;3.38;2.75
1.98;2.12;1.67
1.1;1.14;1
0.83;0.85;0.99
1.37;1.39;1.62
2.44;2.48;2.59
3.51;3.69;3.6
4.41;4.73;4.45
5.12;5.52;5.09
5.39;5.85;5.35
5.14;5.64;5.08
4.48;4.98;4.29
3.49;3.83;3.15
2.33;2.5;1.96
1.26;1.34;1.08
0.69;0.76;0.85
1.01;1.09;1.4
2.12;2.18;2.45
3.4;3.56;3.58
4.46;4.76;4.55
5.28;5.67;5.25
5.72;6.15;5.63
5.58;6.04;5.52
4.99;5.51;4.85
4.09;4.48;3.75
2.91;3.08;2.42
1.65;1.69;1.22
0.65;0.65;0.55
0.45;0.48;0.71
1.29;1.28;1.62
2.62;2.66;2.83
3.83;4.06;3.97
4.84;5.21;4.87
5.52;5.97;5.45
5.6;6.09;5.57
5.15;5.7;5.1
4.35;4.85;4.11
3.25;3.51;2.81
1.98;2.07;1.51
0.83;0.86;0.62
0.3;0.39;0.56
0.91;0.97;1.38
2.32;2.35;2.67
3.73;3.92;3.94
4.86;5.2;4.93
5.69;6.11;5.6
5.94;6.4;5.86
5.59;6.1;5.57
4.88;5.42;4.72
3.89;4.21;3.46
2.63;2.7;2.03
1.28;1.27;0.81
0.29;0.31;0.27
0.34;0.37;0.7
1.5;1.45;1.86
2.98;3.05;3.22
4.23;4.53;4.38
5.24;5.67;5.21
5.76;6.24;5.67
5.6;6.1;5.59
4.98;5.56;4.92
4.09;4.54;3.8
2.93;3.1;2.4
1.6;1.64;1.09
0.46;0.51;0.33
0.16;0.26;0.52
1.12;1.12;1.59
2.69;2.72;3.02
4.1;4.35;4.31
5.21;5.62;5.23
5.91;6.38;5.78
5.92;6.38;5.87
5.4;5.94;5.39
4.63;5.15;4.43
3.59;3.83;3.1
2.29;2.32;1.66
0.95;0.94;0.56
0.15;0.2;0.26
0.57;0.56;0.96
1.96;1.89;2.3
3.42;3.57;3.67
4.62;5.01;4.73
5.51;6;5.41
5.76;6.24;5.67
5.38;5.89;5.38
4.69;5.26;4.59
3.76;4.14;3.42
2.57;2.7;2.03
1.26;1.32;0.83
0.28;0.38;0.28
0.35;0.42;0.74
1.59;1.53;1.99
3.15;3.23;3.44
4.44;4.78;4.6
5.43;5.9;5.35
5.88;6.35;5.73
5.65;6.1;5.63
5.08;5.6;5.04
4.3;4.75;4.06
3.24;3.44;2.75
1.96;2.01;1.42
0.77;0.82;0.53
0.32;0.38;0.52
1.09;1.02;1.45
2.52;2.5;2.83
3.85;4.12;4.08
4.91;5.38;4.93
5.55;6.06;5.4
5.52;5.96;5.45
5.03;5.52;5.02
4.34;4.86;4.21
3.41;3.74;3.06
2.24;2.4;1.78
1.06;1.18;0.77

