Time;z
24-Oct-2023 00:00:00;4.31
24-Oct-2023 01:00:00;4.11
24-Oct-2023 02:00:00;3.66
24-Oct-2023 03:00:00;3.04
24-Oct-2023 04:00:00;2.43
24-Oct-2023 05:00:00;2.08
24-Oct-2023 06:00:00;2.14
24-Oct-2023 07:00:00;2.54
24-Oct-2023 08:00:00;3.08
24-Oct-2023 09:00:00;3.61
24-Oct-2023 10:00:00;4.1
24-Oct-2023 11:00:00;4.52
24-Oct-2023 12:00:00;4.74
24-Oct-2023 13:00:00;4.63
24-Oct-2023 14:00:00;4.18
24-Oct-2023 15:00:00;3.47
24-Oct-2023 16:00:00;2.65
24-Oct-2023 17:00:00;1.97
24-Oct-2023 18:00:00;1.69
24-Oct-2023 19:00:00;1.88
24-Oct-2023 20:00:00;2.41
24-Oct-2023 21:00:00;3.03
24-Oct-2023 22:00:00;3.61
24-Oct-2023 23:00:00;4.14
25-Oct-2023 00:00:00;4.54
25-Oct-2023 01:00:00;4.65
25-Oct-2023 02:00:00;4.41
25-Oct-2023 03:00:00;3.85
25-Oct-2023 04:00:00;3.07
25-Oct-2023 05:00:00;2.27
25-Oct-2023 06:00:00;1.74
25-Oct-2023 07:00:00;1.7
25-Oct-2023 08:00:00;2.16
25-Oct-2023 09:00:00;2.9
25-Oct-2023 10:00:00;3.66
25-Oct-2023 11:00:00;4.33
25-Oct-2023 12:00:00;4.87
25-Oct-2023 13:00:00;5.11
25-Oct-2023 14:00:00;4.94
25-Oct-2023 15:00:00;4.39
25-Oct-2023 16:00:00;3.53
25-Oct-2023 17:00:00;2.53
25-Oct-2023 18:00:00;1.67
25-Oct-2023 19:00:00;1.26
25-Oct-2023 20:00:00;1.49
25-Oct-2023 21:00:00;2.21
25-Oct-2023 22:00:00;3.08
25-Oct-2023 23:00:00;3.85
26-Oct-2023 00:00:00;4.5
26-Oct-2023 01:00:00;4.92
26-Oct-2023 02:00:00;4.95
26-Oct-2023 03:00:00;4.58
26-Oct-2023 04:00:00;3.89
26-Oct-2023 05:00:00;2.95
26-Oct-2023 06:00:00;1.98
26-Oct-2023 07:00:00;1.31
26-Oct-2023 08:00:00;1.26
26-Oct-2023 09:00:00;1.91
26-Oct-2023 10:00:00;2.91
26-Oct-2023 11:00:00;3.88
26-Oct-2023 12:00:00;4.68
26-Oct-2023 13:00:00;5.26
26-Oct-2023 14:00:00;5.43
26-Oct-2023 15:00:00;5.12
26-Oct-2023 16:00:00;4.43
26-Oct-2023 17:00:00;3.43
26-Oct-2023 18:00:00;2.29
26-Oct-2023 19:00:00;1.3
26-Oct-2023 20:00:00;0.86
26-Oct-2023 21:00:00;1.24
26-Oct-2023 22:00:00;2.24
26-Oct-2023 23:00:00;3.33
27-Oct-2023 00:00:00;4.22
27-Oct-2023 01:00:00;4.91
27-Oct-2023 02:00:00;5.25
27-Oct-2023 03:00:00;5.12
27-Oct-2023 04:00:00;4.6
27-Oct-2023 05:00:00;3.77
27-Oct-2023 06:00:00;2.7
27-Oct-2023 07:00:00;1.62
27-Oct-2023 08:00:00;0.89
27-Oct-2023 09:00:00;0.95
27-Oct-2023 10:00:00;1.87
27-Oct-2023 11:00:00;3.11
27-Oct-2023 12:00:00;4.2
27-Oct-2023 13:00:00;5.07
27-Oct-2023 14:00:00;5.6
27-Oct-2023 15:00:00;5.59
27-Oct-2023 16:00:00;5.11
27-Oct-2023 17:00:00;4.3
27-Oct-2023 18:00:00;3.19
27-Oct-2023 19:00:00;1.97
27-Oct-2023 20:00:00;0.95
27-Oct-2023 21:00:00;0.6
27-Oct-2023 22:00:00;1.26
27-Oct-2023 23:00:00;2.51
28-Oct-2023 00:00:00;3.7
28-Oct-2023 01:00:00;4.64
28-Oct-2023 02:00:00;5.29
28-Oct-2023 03:00:00;5.44
28-Oct-2023 04:00:00;5.11
28-Oct-2023 05:00:00;4.45
28-Oct-2023 06:00:00;3.53
28-Oct-2023 07:00:00;2.39
28-Oct-2023 08:00:00;1.26
28-Oct-2023 09:00:00;0.58
28-Oct-2023 10:00:00;0.88
28-Oct-2023 11:00:00;2.07
28-Oct-2023 12:00:00;3.43
28-Oct-2023 13:00:00;4.56
28-Oct-2023 14:00:00;5.41
28-Oct-2023 15:00:00;5.77
28-Oct-2023 16:00:00;5.55
28-Oct-2023 17:00:00;4.93
28-Oct-2023 18:00:00;4.02
28-Oct-2023 19:00:00;2.87
28-Oct-2023 20:00:00;1.64
28-Oct-2023 21:00:00;0.69
28-Oct-2023 22:00:00;0.58
28-Oct-2023 23:00:00;1.54
29-Oct-2023 00:00:00;2.93
29-Oct-2023 01:00:00;4.12
29-Oct-2023 02:00:00;5.03
29-Oct-2023 03:00:00;5.52
29-Oct-2023 04:00:00;5.44
29-Oct-2023 05:00:00;4.94
29-Oct-2023 06:00:00;4.2
29-Oct-2023 07:00:00;3.22
29-Oct-2023 08:00:00;2.06
29-Oct-2023 09:00:00;0.96
29-Oct-2023 10:00:00;0.48
29-Oct-2023 11:00:00;1.09
29-Oct-2023 12:00:00;2.45
29-Oct-2023 13:00:00;3.8
29-Oct-2023 14:00:00;4.88
29-Oct-2023 15:00:00;5.6
29-Oct-2023 16:00:00;5.72
29-Oct-2023 17:00:00;5.31
29-Oct-2023 18:00:00;4.6
29-Oct-2023 19:00:00;3.66
29-Oct-2023 20:00:00;2.52
29-Oct-2023 21:00:00;1.36
29-Oct-2023 22:00:00;0.6
29-Oct-2023 23:00:00;0.84
30-Oct-2023 00:00:00;2.03
30-Oct-2023 01:00:00;3.41
30-Oct-2023 02:00:00;4.51
30-Oct-2023 03:00:00;5.29
30-Oct-2023 04:00:00;5.55
30-Oct-2023 05:00:00;5.25
30-Oct-2023 06:00:00;4.67
30-Oct-2023 07:00:00;3.9
30-Oct-2023 08:00:00;2.89
30-Oct-2023 09:00:00;1.76
30-Oct-2023 10:00:00;0.81
30-Oct-2023 11:00:00;0.64
30-Oct-2023 12:00:00;1.53
30-Oct-2023 13:00:00;2.91
30-Oct-2023 14:00:00;4.14
30-Oct-2023 15:00:00;5.08
30-Oct-2023 16:00:00;5.58
30-Oct-2023 17:00:00;5.45
30-Oct-2023 18:00:00;4.93
30-Oct-2023 19:00:00;4.22
30-Oct-2023 20:00:00;3.28
30-Oct-2023 21:00:00;2.2
30-Oct-2023 22:00:00;1.19
30-Oct-2023 23:00:00;0.75
31-Oct-2023 00:00:00;1.34
31-Oct-2023 01:00:00;2.62
31-Oct-2023 02:00:00;3.85
31-Oct-2023 03:00:00;4.8
31-Oct-2023 04:00:00;5.36
31-Oct-2023 05:00:00;5.36
31-Oct-2023 06:00:00;4.94
31-Oct-2023 07:00:00;4.36
31-Oct-2023 08:00:00;3.59
31-Oct-2023 09:00:00;2.6
31-Oct-2023 10:00:00;1.57
31-Oct-2023 11:00:00;0.87
31-Oct-2023 12:00:00;1.04
31-Oct-2023 13:00:00;2.08
31-Oct-2023 14:00:00;3.33
31-Oct-2023 15:00:00;4.38
31-Oct-2023 16:00:00;5.11
31-Oct-2023 17:00:00;5.33
31-Oct-2023 18:00:00;5.04
31-Oct-2023 19:00:00;4.52
31-Oct-2023 20:00:00;3.83
31-Oct-2023 21:00:00;2.94
31-Oct-2023 22:00:00;1.97
31-Oct-2023 23:00:00;1.21
01-Nov-2023 00:00:00;1.13
01-Nov-2023 01:00:00;1.95
01-Nov-2023 02:00:00;3.14
01-Nov-2023 03:00:00;4.18
01-Nov-2023 04:00:00;4.91
01-Nov-2023 05:00:00;5.22
01-Nov-2023 06:00:00;5.03
01-Nov-2023 07:00:00;4.6
01-Nov-2023 08:00:00;4.06
01-Nov-2023 09:00:00;3.31
01-Nov-2023 10:00:00;2.4
01-Nov-2023 11:00:00;1.54
01-Nov-2023 12:00:00;1.15
01-Nov-2023 13:00:00;1.58
01-Nov-2023 14:00:00;2.6
01-Nov-2023 15:00:00;3.65
01-Nov-2023 16:00:00;4.47
01-Nov-2023 17:00:00;4.93
01-Nov-2023 18:00:00;4.92
01-Nov-2023 19:00:00;4.58
01-Nov-2023 20:00:00;4.12
01-Nov-2023 21:00:00;3.5
01-Nov-2023 22:00:00;2.7
01-Nov-2023 23:00:00;1.9
