Time;z
23-Dec-1999 00:00:00;2.92
23-Dec-1999 01:00:00;4.37
23-Dec-1999 02:00:00;5.42
23-Dec-1999 03:00:00;6.04
23-Dec-1999 04:00:00;6.09
23-Dec-1999 05:00:00;5.72
23-Dec-1999 06:00:00;5.03
23-Dec-1999 07:00:00;3.83
23-Dec-1999 08:00:00;2.42
23-Dec-1999 09:00:00;1.15
23-Dec-1999 10:00:00;0.46
23-Dec-1999 11:00:00;0.8
23-Dec-1999 12:00:00;2.02
23-Dec-1999 13:00:00;3.55
23-Dec-1999 14:00:00;4.85
23-Dec-1999 15:00:00;5.76
23-Dec-1999 16:00:00;6.12
23-Dec-1999 17:00:00;5.91
23-Dec-1999 18:00:00;5.38
23-Dec-1999 19:00:00;4.35
23-Dec-1999 20:00:00;2.93
23-Dec-1999 21:00:00;1.57
23-Dec-1999 22:00:00;0.62
23-Dec-1999 23:00:00;0.62
24-Dec-1999 00:00:00;1.65
24-Dec-1999 01:00:00;3.23
24-Dec-1999 02:00:00;4.67
24-Dec-1999 03:00:00;5.67
24-Dec-1999 04:00:00;6.17
24-Dec-1999 05:00:00;6.07
24-Dec-1999 06:00:00;5.66
24-Dec-1999 07:00:00;4.91
24-Dec-1999 08:00:00;3.64
24-Dec-1999 09:00:00;2.21
24-Dec-1999 10:00:00;0.94
24-Dec-1999 11:00:00;0.37
24-Dec-1999 12:00:00;0.88
24-Dec-1999 13:00:00;2.24
24-Dec-1999 14:00:00;3.81
24-Dec-1999 15:00:00;5.05
24-Dec-1999 16:00:00;5.86
24-Dec-1999 17:00:00;6.03
24-Dec-1999 18:00:00;5.74
24-Dec-1999 19:00:00;5.19
24-Dec-1999 20:00:00;4.12
24-Dec-1999 21:00:00;2.73
24-Dec-1999 22:00:00;1.42
24-Dec-1999 23:00:00;0.61
25-Dec-1999 00:00:00;0.8
25-Dec-1999 01:00:00;1.97
25-Dec-1999 02:00:00;3.57
25-Dec-1999 03:00:00;4.91
25-Dec-1999 04:00:00;5.8
25-Dec-1999 05:00:00;6.12
25-Dec-1999 06:00:00;5.91
25-Dec-1999 07:00:00;5.52
25-Dec-1999 08:00:00;4.74
25-Dec-1999 09:00:00;3.47
25-Dec-1999 10:00:00;2.05
25-Dec-1999 11:00:00;0.88
25-Dec-1999 12:00:00;0.47
25-Dec-1999 13:00:00;1.13
25-Dec-1999 14:00:00;2.57
25-Dec-1999 15:00:00;4.05
25-Dec-1999 16:00:00;5.17
25-Dec-1999 17:00:00;5.79
25-Dec-1999 18:00:00;5.78
25-Dec-1999 19:00:00;5.49
25-Dec-1999 20:00:00;4.95
25-Dec-1999 21:00:00;3.9
25-Dec-1999 22:00:00;2.59
25-Dec-1999 23:00:00;1.39
26-Dec-1999 00:00:00;0.76
26-Dec-1999 01:00:00;1.11
26-Dec-1999 02:00:00;2.36
26-Dec-1999 03:00:00;3.88
26-Dec-1999 04:00:00;5.07
26-Dec-1999 05:00:00;5.78
26-Dec-1999 06:00:00;5.9
26-Dec-1999 07:00:00;5.66
26-Dec-1999 08:00:00;5.31
26-Dec-1999 09:00:00;4.54
26-Dec-1999 10:00:00;3.33
26-Dec-1999 11:00:00;1.99
26-Dec-1999 12:00:00;0.97
26-Dec-1999 13:00:00;0.74
26-Dec-1999 14:00:00;1.51
26-Dec-1999 15:00:00;2.92
26-Dec-1999 16:00:00;4.25
26-Dec-1999 17:00:00;5.18
26-Dec-1999 18:00:00;5.56
26-Dec-1999 19:00:00;5.43
26-Dec-1999 20:00:00;5.19
26-Dec-1999 21:00:00;4.69
26-Dec-1999 22:00:00;3.74
26-Dec-1999 23:00:00;2.54
27-Dec-1999 00:00:00;1.49
27-Dec-1999 01:00:00;1.05
27-Dec-1999 02:00:00;1.5
27-Dec-1999 03:00:00;2.75
27-Dec-1999 04:00:00;4.11
27-Dec-1999 05:00:00;5.11
27-Dec-1999 06:00:00;5.61
27-Dec-1999 07:00:00;5.57
27-Dec-1999 08:00:00;5.36
27-Dec-1999 09:00:00;5.07
27-Dec-1999 10:00:00;4.36
27-Dec-1999 11:00:00;3.25
27-Dec-1999 12:00:00;2.04
27-Dec-1999 13:00:00;1.2
27-Dec-1999 14:00:00;1.12
27-Dec-1999 15:00:00;1.65
27-Dec-1999 16:00:00;3.24
27-Dec-1999 17:00:00;4.36
27-Dec-1999 18:00:00;5.07
27-Dec-1999 19:00:00;5.23
27-Dec-1999 20:00:00;5.08
27-Dec-1999 21:00:00;4.9
27-Dec-1999 22:00:00;4.48
27-Dec-1999 23:00:00;3.64
28-Dec-1999 00:00:00;2.58
28-Dec-1999 01:00:00;1.7
28-Dec-1999 02:00:00;1.39
28-Dec-1999 03:00:00;1.91
28-Dec-1999 04:00:00;3.07
28-Dec-1999 05:00:00;4.23
28-Dec-1999 06:00:00;5.04
28-Dec-1999 07:00:00;5.33
28-Dec-1999 08:00:00;5.23
28-Dec-1999 09:00:00;5.08
28-Dec-1999 10:00:00;4.84
28-Dec-1999 11:00:00;4.22
28-Dec-1999 12:00:00;3.23
28-Dec-1999 13:00:00;2.19
28-Dec-1999 14:00:00;1.51
28-Dec-1999 15:00:00;1.53
28-Dec-1999 16:00:00;2.33
28-Dec-1999 17:00:00;3.45
28-Dec-1999 18:00:00;4.37
28-Dec-1999 19:00:00;4.86
28-Dec-1999 20:00:00;4.9
28-Dec-1999 21:00:00;4.79
28-Dec-1999 22:00:00;4.68
28-Dec-1999 23:00:00;4.35
29-Dec-1999 00:00:00;3.62
29-Dec-1999 01:00:00;2.7
29-Dec-1999 02:00:00;1.96
29-Dec-1999 03:00:00;1.73
29-Dec-1999 04:00:00;2.25
29-Dec-1999 05:00:00;3.26
29-Dec-1999 06:00:00;4.24
29-Dec-1999 07:00:00;4.86
29-Dec-1999 08:00:00;5.03
29-Dec-1999 09:00:00;4.94
29-Dec-1999 10:00:00;4.85
29-Dec-1999 11:00:00;4.67
29-Dec-1999 12:00:00;4.14
29-Dec-1999 13:00:00;3.28
29-Dec-1999 14:00:00;2.4
29-Dec-1999 15:00:00;1.83
29-Dec-1999 16:00:00;1.89
29-Dec-1999 17:00:00;2.6
29-Dec-1999 18:00:00;3.53
29-Dec-1999 19:00:00;4.28
29-Dec-1999 20:00:00;4.63
29-Dec-1999 21:00:00;4.66
29-Dec-1999 22:00:00;4.62
29-Dec-1999 23:00:00;4.57
30-Dec-1999 00:00:00;4.3
30-Dec-1999 01:00:00;3.66
30-Dec-1999 02:00:00;2.86
30-Dec-1999 03:00:00;2.2
30-Dec-1999 04:00:00;2.02
30-Dec-1999 05:00:00;2.47
30-Dec-1999 06:00:00;3.33
30-Dec-1999 07:00:00;4.15
30-Dec-1999 08:00:00;4.64
30-Dec-1999 09:00:00;4.77
30-Dec-1999 10:00:00;4.74
30-Dec-1999 11:00:00;4.71
30-Dec-1999 12:00:00;4.58
30-Dec-1999 13:00:00;4.12
30-Dec-1999 14:00:00;3.37
30-Dec-1999 15:00:00;2.59
30-Dec-1999 16:00:00;2.08
30-Dec-1999 17:00:00;2.12
30-Dec-1999 18:00:00;2.71
30-Dec-1999 19:00:00;3.51
30-Dec-1999 20:00:00;4.15
