Time;z
24-Feb-2010 00:00:00;4.22
24-Feb-2010 01:00:00;4.02
24-Feb-2010 02:00:00;3.59
24-Feb-2010 03:00:00;3
24-Feb-2010 04:00:00;2.42
24-Feb-2010 05:00:00;2.1
24-Feb-2010 06:00:00;2.2
24-Feb-2010 07:00:00;2.59
24-Feb-2010 08:00:00;3.04
24-Feb-2010 09:00:00;3.45
24-Feb-2010 10:00:00;3.79
24-Feb-2010 11:00:00;4.09
24-Feb-2010 12:00:00;4.29
24-Feb-2010 13:00:00;4.26
24-Feb-2010 14:00:00;3.95
24-Feb-2010 15:00:00;3.41
24-Feb-2010 16:00:00;2.76
24-Feb-2010 17:00:00;2.23
24-Feb-2010 18:00:00;2.07
24-Feb-2010 19:00:00;2.32
24-Feb-2010 20:00:00;2.78
24-Feb-2010 21:00:00;3.28
24-Feb-2010 22:00:00;3.73
24-Feb-2010 23:00:00;4.13
25-Feb-2010 00:00:00;4.45
25-Feb-2010 01:00:00;4.57
25-Feb-2010 02:00:00;4.38
25-Feb-2010 03:00:00;3.88
25-Feb-2010 04:00:00;3.16
25-Feb-2010 05:00:00;2.4
25-Feb-2010 06:00:00;1.89
25-Feb-2010 07:00:00;1.83
25-Feb-2010 08:00:00;2.15
25-Feb-2010 09:00:00;2.7
25-Feb-2010 10:00:00;3.29
25-Feb-2010 11:00:00;3.84
25-Feb-2010 12:00:00;4.31
25-Feb-2010 13:00:00;4.62
25-Feb-2010 14:00:00;4.62
25-Feb-2010 15:00:00;4.25
25-Feb-2010 16:00:00;3.58
25-Feb-2010 17:00:00;2.75
25-Feb-2010 18:00:00;2.02
25-Feb-2010 19:00:00;1.69
25-Feb-2010 20:00:00;1.85
25-Feb-2010 21:00:00;2.41
25-Feb-2010 22:00:00;3.14
25-Feb-2010 23:00:00;3.83
26-Feb-2010 00:00:00;4.42
26-Feb-2010 01:00:00;4.85
26-Feb-2010 02:00:00;4.99
26-Feb-2010 03:00:00;4.72
26-Feb-2010 04:00:00;4.09
26-Feb-2010 05:00:00;3.19
26-Feb-2010 06:00:00;2.24
26-Feb-2010 07:00:00;1.54
26-Feb-2010 08:00:00;1.33
26-Feb-2010 09:00:00;1.7
26-Feb-2010 10:00:00;2.47
26-Feb-2010 11:00:00;3.31
26-Feb-2010 12:00:00;4.06
26-Feb-2010 13:00:00;4.68
26-Feb-2010 14:00:00;5.03
26-Feb-2010 15:00:00;4.94
26-Feb-2010 16:00:00;4.45
26-Feb-2010 17:00:00;3.61
26-Feb-2010 18:00:00;2.6
26-Feb-2010 19:00:00;1.69
26-Feb-2010 20:00:00;1.2
26-Feb-2010 21:00:00;1.36
26-Feb-2010 22:00:00;2.16
26-Feb-2010 23:00:00;3.18
27-Feb-2010 00:00:00;4.09
27-Feb-2010 01:00:00;4.83
27-Feb-2010 02:00:00;5.31
27-Feb-2010 03:00:00;5.36
27-Feb-2010 04:00:00;4.94
27-Feb-2010 05:00:00;4.16
27-Feb-2010 06:00:00;3.11
27-Feb-2010 07:00:00;1.98
27-Feb-2010 08:00:00;1.1
27-Feb-2010 09:00:00;0.83
27-Feb-2010 10:00:00;1.37
27-Feb-2010 11:00:00;2.44
27-Feb-2010 12:00:00;3.51
27-Feb-2010 13:00:00;4.41
27-Feb-2010 14:00:00;5.12
27-Feb-2010 15:00:00;5.39
27-Feb-2010 16:00:00;5.14
27-Feb-2010 17:00:00;4.48
27-Feb-2010 18:00:00;3.49
27-Feb-2010 19:00:00;2.33
27-Feb-2010 20:00:00;1.26
27-Feb-2010 21:00:00;0.69
27-Feb-2010 22:00:00;1.01
27-Feb-2010 23:00:00;2.12
28-Feb-2010 00:00:00;3.4
28-Feb-2010 01:00:00;4.46
28-Feb-2010 02:00:00;5.28
28-Feb-2010 03:00:00;5.72
28-Feb-2010 04:00:00;5.58
28-Feb-2010 05:00:00;4.99
28-Feb-2010 06:00:00;4.09
28-Feb-2010 07:00:00;2.91
28-Feb-2010 08:00:00;1.65
28-Feb-2010 09:00:00;0.65
28-Feb-2010 10:00:00;0.45
28-Feb-2010 11:00:00;1.29
28-Feb-2010 12:00:00;2.62
28-Feb-2010 13:00:00;3.83
28-Feb-2010 14:00:00;4.84
28-Feb-2010 15:00:00;5.52
28-Feb-2010 16:00:00;5.6
28-Feb-2010 17:00:00;5.15
28-Feb-2010 18:00:00;4.35
28-Feb-2010 19:00:00;3.25
28-Feb-2010 20:00:00;1.98
28-Feb-2010 21:00:00;0.83
28-Feb-2010 22:00:00;0.3
28-Feb-2010 23:00:00;0.91
01-Mar-2010 00:00:00;2.32
01-Mar-2010 01:00:00;3.73
01-Mar-2010 02:00:00;4.86
01-Mar-2010 03:00:00;5.69
01-Mar-2010 04:00:00;5.94
01-Mar-2010 05:00:00;5.59
01-Mar-2010 06:00:00;4.88
01-Mar-2010 07:00:00;3.89
01-Mar-2010 08:00:00;2.63
01-Mar-2010 09:00:00;1.28
01-Mar-2010 10:00:00;0.29
01-Mar-2010 11:00:00;0.34
01-Mar-2010 12:00:00;1.5
01-Mar-2010 13:00:00;2.98
01-Mar-2010 14:00:00;4.23
01-Mar-2010 15:00:00;5.24
01-Mar-2010 16:00:00;5.76
01-Mar-2010 17:00:00;5.6
01-Mar-2010 18:00:00;4.98
01-Mar-2010 19:00:00;4.09
01-Mar-2010 20:00:00;2.93
01-Mar-2010 21:00:00;1.6
01-Mar-2010 22:00:00;0.46
01-Mar-2010 23:00:00;0.16
02-Mar-2010 00:00:00;1.12
02-Mar-2010 01:00:00;2.69
02-Mar-2010 02:00:00;4.1
02-Mar-2010 03:00:00;5.21
02-Mar-2010 04:00:00;5.91
02-Mar-2010 05:00:00;5.92
02-Mar-2010 06:00:00;5.4
02-Mar-2010 07:00:00;4.63
02-Mar-2010 08:00:00;3.59
02-Mar-2010 09:00:00;2.29
02-Mar-2010 10:00:00;0.95
02-Mar-2010 11:00:00;0.15
02-Mar-2010 12:00:00;0.57
02-Mar-2010 13:00:00;1.96
02-Mar-2010 14:00:00;3.42
02-Mar-2010 15:00:00;4.62
02-Mar-2010 16:00:00;5.51
02-Mar-2010 17:00:00;5.76
02-Mar-2010 18:00:00;5.38
02-Mar-2010 19:00:00;4.69
02-Mar-2010 20:00:00;3.76
02-Mar-2010 21:00:00;2.57
02-Mar-2010 22:00:00;1.26
02-Mar-2010 23:00:00;0.28
03-Mar-2010 00:00:00;0.35
03-Mar-2010 01:00:00;1.59
03-Mar-2010 02:00:00;3.15
03-Mar-2010 03:00:00;4.44
03-Mar-2010 04:00:00;5.43
03-Mar-2010 05:00:00;5.88
03-Mar-2010 06:00:00;5.65
03-Mar-2010 07:00:00;5.08
03-Mar-2010 08:00:00;4.3
03-Mar-2010 09:00:00;3.24
03-Mar-2010 10:00:00;1.96
03-Mar-2010 11:00:00;0.77
03-Mar-2010 12:00:00;0.32
03-Mar-2010 13:00:00;1.09
03-Mar-2010 14:00:00;2.52
03-Mar-2010 15:00:00;3.85
03-Mar-2010 16:00:00;4.91
03-Mar-2010 17:00:00;5.55
03-Mar-2010 18:00:00;5.52
03-Mar-2010 19:00:00;5.03
03-Mar-2010 20:00:00;4.34
